Description:;"Celsius-based cooling degree days for a base temperature of 18,0C"
Source:;"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:;"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:;"Milano / Linate, Italy (9.26E,45.46N)"
Station ID:;"LIML"

Date;CDD;% Estimated
2015-02-15;"0";0
2015-02-16;"0";0
2015-02-17;"0";0
2015-02-18;"0";0
2015-02-19;"0";0
2015-02-20;"0";0
2015-02-21;"0";0
2015-02-22;"0";0
2015-02-23;"0";0
2015-02-24;"0";0
2015-02-25;"0";0
2015-02-26;"0";0
2015-02-27;"0";0
2015-02-28;"0";0
2015-03-01;"0";0
2015-03-02;"0";0
2015-03-03;"0";0
2015-03-04;"0";0
2015-03-05;"0";0
2015-03-06;"0";0
2015-03-07;"0";0
2015-03-08;"0";0
2015-03-09;"0";0
2015-03-10;"0";0
2015-03-11;"0,1";0
2015-03-12;"0";0
2015-03-13;"0";0
2015-03-14;"0";0
2015-03-15;"0";0
2015-03-16;"0";0
2015-03-17;"0";0
2015-03-18;"0";0
2015-03-19;"0";0
2015-03-20;"0";0
2015-03-21;"0";0
2015-03-22;"0";0
2015-03-23;"0";0
2015-03-24;"0";0
2015-03-25;"0";0
2015-03-26;"0";0
2015-03-27;"0,4";0
2015-03-28;"0,2";0
2015-03-29;"0";0
2015-03-30;"1";0
2015-03-31;"1,8";0
2015-04-01;"0";0
2015-04-02;"0,1";0
2015-04-03;"0";0
2015-04-04;"0";0
2015-04-05;"0";0
2015-04-06;"0";0
2015-04-07;"0";0
2015-04-08;"0,4";0
2015-04-09;"0,3";0
2015-04-10;"0,6";0
2015-04-11;"0,4";0
2015-04-12;"1";0
2015-04-13;"2,6";0
2015-04-14;"2,3";0
2015-04-15;"2,2";0
2015-04-16;"1";0
2015-04-17;"0";0
2015-04-18;"0,6";0
2015-04-19;"0";0
2015-04-20;"0,4";0
2015-04-21;"1,8";0
2015-04-22;"2,5";0
2015-04-23;"1,2";0
2015-04-24;"1";0
2015-04-25;"0";0
2015-04-26;"0";0
2015-04-27;"0";0
2015-04-28;"0,9";0
2015-04-29;"0";0
2015-04-30;"0,4";0
2015-05-01;"0";0
2015-05-02;"1,4";0
2015-05-03;"0,2";0
2015-05-04;"1,6";0
2015-05-05;"2";0
2015-05-06;"2,9";0
2015-05-07;"2,8";0
2015-05-08;"2,2";0
2015-05-09;"3,3";0
2015-05-10;"4,1";0
2015-05-11;"4,2";0
2015-05-12;"4,2";0
2015-05-13;"4,7";0
2015-05-14;"4,7";0
2015-05-15;"1,6";0
2015-05-16;"2,7";0
2015-05-17;"4,3";0
2015-05-18;"4,3";0
2015-05-19;"3,3";0
2015-05-20;"0,2";0
2015-05-21;"0,1";0
2015-05-22;"0,2";0
2015-05-23;"0,3";0
2015-05-24;"1,6";0
2015-05-25;"2,8";0
2015-05-26;"1,2";0
2015-05-27;"1,8";0
2015-05-28;"2,2";0
2015-05-29;"2,7";0
2015-05-30;"3,2";0
2015-05-31;"2,8";0
2015-06-01;"4,4";0
2015-06-02;"5,9";0
2015-06-03;"7,2";0
2015-06-04;"8,6";0
2015-06-05;"9,5";0
2015-06-06;"10,2";0
2015-06-07;"9,3";0
2015-06-08;"6,8";0
2015-06-09;"5,8";0
2015-06-10;"5,4";0
2015-06-11;"6,7";0
2015-06-12;"5,8";0
2015-06-13;"4,6";0
2015-06-14;"1,9";0
2015-06-15;"3,2";0
2015-06-16;"1,8";0
2015-06-17;"3,3";0
2015-06-18;"4,2";0
2015-06-19;"5,3";0
2015-06-20;"3,9";0
2015-06-21;"3,4";0
2015-06-22;"3,6";0
2015-06-23;"5,8";0
2015-06-24;"2,8";0
2015-06-25;"3,9";0
2015-06-26;"5,2";0
2015-06-27;"6,9";0
2015-06-28;"7,1";0
2015-06-29;"7,4";0
2015-06-30;"7,8";0
2015-07-01;"9";0
2015-07-02;"10";0
2015-07-03;"10,7";0
2015-07-04;"10";0
2015-07-05;"11,4";0
2015-07-06;"12,3";0
2015-07-07;"12,8";0
2015-07-08;"10,9";0
2015-07-09;"8,9";0
2015-07-10;"7,4";0
2015-07-11;"8,1";0
2015-07-12;"9,5";0
2015-07-13;"10,3";0
2015-07-14;"10,4";0
2015-07-15;"11,4";0
2015-07-16;"11,7";0
2015-07-17;"12,2";0
2015-07-18;"11,7";0
2015-07-19;"10,6";0
2015-07-20;"11,5";0
2015-07-21;"12,2";0
2015-07-22;"12,9";0
2015-07-23;"12,3";0
2015-07-24;"10,8";0
2015-07-25;"8,5";0
2015-07-26;"8,5";0
2015-07-27;"8,9";0
2015-07-28;"8,5";0
2015-07-29;"8,4";0
2015-07-30;"7";0
2015-07-31;"5,9";0
2015-08-01;"1,9";0
2015-08-02;"4,9";0
2015-08-03;"7,6";0
2015-08-04;"8,9";0
2015-08-05;"10,1";0
2015-08-06;"11,4";0
2015-08-07;"12,1";0
2015-08-08;"12";0
2015-08-09;"10,1";0
2015-08-10;"4,3";0
2015-08-11;"8";0
2015-08-12;"9,9";0
2015-08-13;"11";0
2015-08-14;"7,4";0
2015-08-15;"4,1";0
2015-08-16;"2,5";0
2015-08-17;"4,7";0
2015-08-18;"3,7";0
2015-08-19;"2,8";0
2015-08-20;"4,6";0
2015-08-21;"4";0
2015-08-22;"4,6";0
2015-08-23;"1,8";0
2015-08-24;"1,5";0
2015-08-25;"4";0
2015-08-26;"4,8";0
2015-08-27;"6,2";0
2015-08-28;"7,2";0
2015-08-29;"8,5";0
2015-08-30;"8,6";0
2015-08-31;"8,6";0
2015-09-01;"6,8";0
2015-09-02;"6,2";0
2015-09-03;"5,1";0
2015-09-04;"4,1";0
2015-09-05;"2,3";0
2015-09-06;"1,9";0
2015-09-07;"2,2";0
2015-09-08;"2,1";0
2015-09-09;"2,1";0
2015-09-10;"1,8";0
2015-09-11;"1,2";0
2015-09-12;"2,9";0
2015-09-13;"1";1
2015-09-14;"2,2";0
2015-09-15;"3,2";0
2015-09-16;"1,6";0
2015-09-17;"4";0
2015-09-18;"4";0
2015-09-19;"2,9";0
2015-09-20;"2,6";0
2015-09-21;"2,2";0
2015-09-22;"1";0
2015-09-23;"0";0
2015-09-24;"0,8";0
2015-09-25;"1,8";0
2015-09-26;"1,8";0
2015-09-27;"0,7";0
2015-09-28;"0,2";0
2015-09-29;"0";0
2015-09-30;"0";0
2015-10-01;"0";0
2015-10-02;"0";0
2015-10-03;"0";0
2015-10-04;"0,4";0
2015-10-05;"0,7";0
2015-10-06;"0";0
2015-10-07;"0,5";0
2015-10-08;"1,2";0
2015-10-09;"0,8";0
2015-10-10;"0,4";0
2015-10-11;"0,6";0
2015-10-12;"0,5";0
2015-10-13;"0";0
2015-10-14;"0";0
2015-10-15;"0";0
2015-10-16;"0";0
2015-10-17;"0";0
2015-10-18;"0";0
2015-10-19;"0";0
2015-10-20;"0";0
2015-10-21;"0";0
2015-10-22;"0";0
2015-10-23;"0";0
2015-10-24;"0";0
2015-10-25;"0";0
2015-10-26;"0";0
2015-10-27;"0";0
2015-10-28;"0";0
2015-10-29;"0";0
2015-10-30;"0,1";0
2015-10-31;"0";0
2015-11-01;"0";0
2015-11-02;"0";0
2015-11-03;"0";0
2015-11-04;"0";0
2015-11-05;"0,1";0
2015-11-06;"0,1";0
2015-11-07;"0,2";0
2015-11-08;"0,4";0
2015-11-09;"0,3";0
2015-11-10;"0,3";0
2015-11-11;"0,1";0
2015-11-12;"0";0
2015-11-13;"0";0
2015-11-14;"0";0
2015-11-15;"0";0
2015-11-16;"0";0
2015-11-17;"0";0
2015-11-18;"0";0
2015-11-19;"0";0
2015-11-20;"0";0
2015-11-21;"0";0
2015-11-22;"0";0
2015-11-23;"0";0
2015-11-24;"0";0
2015-11-25;"0";0
2015-11-26;"0";0
2015-11-27;"0";0
2015-11-28;"0";0
2015-11-29;"0";0
2015-11-30;"0";0
2015-12-01;"0";0
2015-12-02;"0";0
2015-12-03;"0";0
2015-12-04;"0";0
2015-12-05;"0";0
2015-12-06;"0";0
2015-12-07;"0";0
2015-12-08;"0";0
2015-12-09;"0";0
2015-12-10;"0";0
2015-12-11;"0";0
2015-12-12;"0";0
2015-12-13;"0";0
2015-12-14;"0";0
2015-12-15;"0";0
2015-12-16;"0";0
2015-12-17;"0";0
2015-12-18;"0";0
2015-12-19;"0";0
2015-12-20;"0";0
2015-12-21;"0";0
2015-12-22;"0";0
2015-12-23;"0";0
2015-12-24;"0";0
2015-12-25;"0";0
2015-12-26;"0";0
2015-12-27;"0";0
2015-12-28;"0";0
2015-12-29;"0";0
2015-12-30;"0";0
2015-12-31;"0";0
2016-01-01;"0";0
2016-01-02;"0";0
2016-01-03;"0";0
2016-01-04;"0";0
2016-01-05;"0";1
2016-01-06;"0";0
2016-01-07;"0";0
2016-01-08;"0";0
2016-01-09;"0";0
2016-01-10;"0";0
2016-01-11;"0";0
2016-01-12;"0";0
2016-01-13;"0";0
2016-01-14;"0";0
2016-01-15;"0";0
2016-01-16;"0";0
2016-01-17;"0";0
2016-01-18;"0";0
2016-01-19;"0";0
2016-01-20;"0";0
2016-01-21;"0";0
2016-01-22;"0";0
2016-01-23;"0";0
2016-01-24;"0";0
2016-01-25;"0";0
2016-01-26;"0";0
2016-01-27;"0";0
2016-01-28;"0";0
2016-01-29;"0";0
2016-01-30;"0";0
2016-01-31;"0";0
2016-02-01;"0";0
2016-02-02;"0";0
2016-02-03;"0";0
2016-02-04;"0";0
2016-02-05;"0";0
2016-02-06;"0";0
2016-02-07;"0";0
2016-02-08;"0";0
2016-02-09;"0";0
2016-02-10;"0";0
2016-02-11;"0";0
2016-02-12;"0";0
2016-02-13;"0";0
2016-02-14;"0";0
2016-02-15;"0";0
2016-02-16;"0";0
2016-02-17;"0";0
2016-02-18;"0";0
2016-02-19;"0";0
2016-02-20;"0";0
2016-02-21;"0";0
2016-02-22;"0";0
2016-02-23;"0";0
2016-02-24;"0";0
2016-02-25;"0";0
2016-02-26;"0";0
2016-02-27;"0";0
2016-02-28;"0";0
2016-02-29;"0";0
2016-03-01;"0";0
2016-03-02;"0";0
2016-03-03;"0";1
2016-03-04;"0";0
2016-03-05;"0";0
2016-03-06;"0";0
2016-03-07;"0";0
2016-03-08;"0";1
2016-03-09;"0";0
2016-03-10;"0";0
2016-03-11;"0";0
2016-03-12;"0";0
2016-03-13;"0";0
2016-03-14;"0";0
2016-03-15;"0";0
2016-03-16;"0";0
2016-03-17;"0";0
2016-03-18;"0";0
2016-03-19;"0,1";0
2016-03-20;"0";0
2016-03-21;"0";0
2016-03-22;"0";0
2016-03-23;"0";0
2016-03-24;"0";0
2016-03-25;"0";0
2016-03-26;"0";0
2016-03-27;"0";0
2016-03-28;"0";0
2016-03-29;"0,2";0
2016-03-30;"0";0
2016-03-31;"0";0
2016-04-01;"0";0
2016-04-02;"0";0
2016-04-03;"0,5";0
2016-04-04;"0";0
2016-04-05;"0";0
2016-04-06;"0,9";0
2016-04-07;"0,5";0
2016-04-08;"0,1";0
2016-04-09;"0,1";0
2016-04-10;"0,8";0
2016-04-11;"0,8";0
2016-04-12;"0,8";0
2016-04-13;"0,7";0
2016-04-14;"1,5";0
2016-04-15;"0,3";0
2016-04-16;"0,6";0
2016-04-17;"0,5";0
2016-04-18;"1,2";0
2016-04-19;"1";0
2016-04-20;"0,9";0
2016-04-21;"1";0
2016-04-22;"1,3";0
2016-04-23;"0,2";0
2016-04-24;"0,4";0
2016-04-25;"0";0
2016-04-26;"0";0
2016-04-27;"0";0
2016-04-28;"0";0
2016-04-29;"0,1";0
2016-04-30;"0,5";0
2016-05-01;"0";0
2016-05-02;"0";0
2016-05-03;"2,1";0
2016-05-04;"1,9";0
2016-05-05;"0,8";0
2016-05-06;"1,8";0
2016-05-07;"2";0
2016-05-08;"1,5";0
2016-05-09;"0";0
2016-05-10;"0";0
2016-05-11;"0";0
2016-05-12;"0";0
2016-05-13;"0,3";0
2016-05-14;"1,5";0
2016-05-15;"1,6";0
2016-05-16;"0,2";0
2016-05-17;"0,8";0
2016-05-18;"1,4";0
2016-05-19;"0";0
2016-05-20;"2";0
2016-05-21;"3,5";0
2016-05-22;"3,9";0
2016-05-23;"0,3";0
2016-05-24;"2,5";0
2016-05-25;"2";0
2016-05-26;"3,4";0
2016-05-27;"4,8";0
2016-05-28;"5,7";0
2016-05-29;"0,7";0
2016-05-30;"0";0
2016-05-31;"0,5";0
2016-06-01;"1";0
2016-06-02;"0,9";0
2016-06-03;"1,7";0
2016-06-04;"1,1";0
2016-06-05;"2";0
2016-06-06;"3,4";0
2016-06-07;"4,6";0
2016-06-08;"3,5";0
2016-06-09;"1,5";0
2016-06-10;"3,3";0
2016-06-11;"2,4";0
2016-06-12;"2,3";0
2016-06-13;"3,6";0
2016-06-14;"2,5";0
2016-06-15;"2,2";0
2016-06-16;"2,3";0
2016-06-17;"2,8";0
2016-06-18;"2,1";0
2016-06-19;"1,2";0
2016-06-20;"4,4";0
2016-06-21;"6";0
2016-06-22;"7,3";0
2016-06-23;"8,7";0
2016-06-24;"10,4";0
2016-06-25;"9,3";0
2016-06-26;"7";0
2016-06-27;"6,8";0
2016-06-28;"6,8";0
2016-06-29;"7,9";0
2016-06-30;"7,7";0
2016-07-01;"8,2";0
2016-07-02;"6,8";0
2016-07-03;"7,3";0
2016-07-04;"6,4";0
2016-07-05;"7,8";0
2016-07-06;"8,2";0
2016-07-07;"8,4";0
2016-07-08;"8,5";0
2016-07-09;"9,8";0
2016-07-10;"11,1";0
2016-07-11;"11,2";0
2016-07-12;"6,2";0
2016-07-13;"5,1";0
2016-07-14;"4,7";0
2016-07-15;"4,4";0
2016-07-16;"4,6";0
2016-07-17;"5,4";0
2016-07-18;"7,9";0
2016-07-19;"8,8";0
2016-07-20;"10";0
2016-07-21;"9,5";0
2016-07-22;"8,1";0
2016-07-23;"6,7";0
2016-07-24;"7,2";0
2016-07-25;"9,1";0
2016-07-26;"8,5";0
2016-07-27;"7,4";0
2016-07-28;"6,2";0
2016-07-29;"8,3";0
2016-07-30;"9,3";0
2016-07-31;"6,1";0
2016-08-01;"5,5";0
2016-08-02;"6,8";0
2016-08-03;"7,6";0
2016-08-04;"9";0
2016-08-05;"4,5";0
2016-08-06;"4,9";0
2016-08-07;"6";0
2016-08-08;"5,9";0
2016-08-09;"7";0
2016-08-10;"3,9";0
2016-08-11;"2,7";0
2016-08-12;"3,1";0
2016-08-13;"4,3";0
2016-08-14;"6,1";0
2016-08-15;"7,9";0
2016-08-16;"7,7";0
2016-08-17;"7,2";0
2016-08-18;"5,9";0
2016-08-19;"6";0
2016-08-20;"5,3";0
2016-08-21;"6,4";0
2016-08-22;"5,4";0
2016-08-23;"5,5";0
2016-08-24;"6,4";0
2016-08-25;"7";0
2016-08-26;"7,2";0
2016-08-27;"7,4";0
2016-08-28;"8,4";0
2016-08-29;"9";0
2016-08-30;"5,1";0
2016-08-31;"6,5";0
2016-09-01;"7,1";0
2016-09-02;"8,1";0
2016-09-03;"8,2";0
2016-09-04;"7,7";0
2016-09-05;"7,8";0
2016-09-06;"5,7";0
2016-09-07;"5,3";0
2016-09-08;"6,8";0
2016-09-09;"7,1";0
2016-09-10;"7";0
2016-09-11;"7,8";0
2016-09-12;"7";0
2016-09-13;"7,1";0
2016-09-14;"6,7";0
2016-09-15;"3,6";0
2016-09-16;"2,2";0
2016-09-17;"1,9";0
2016-09-18;"1,8";0
2016-09-19;"3,6";0
2016-09-20;"3,2";0
2016-09-21;"0,9";0
2016-09-22;"1,2";0
2016-09-23;"1,8";0
2016-09-24;"2,2";0
2016-09-25;"2,1";0
2016-09-26;"2,5";0
2016-09-27;"2,2";0
2016-09-28;"2,3";0
2016-09-29;"2,8";0
2016-09-30;"2,5";0
2016-10-01;"1,7";0
2016-10-02;"1,6";0
2016-10-03;"1,9";0
2016-10-04;"1,3";0
2016-10-05;"0,6";0
2016-10-06;"0";0
2016-10-07;"0,2";0
2016-10-08;"0,1";0
2016-10-09;"0";0
2016-10-10;"0";0
2016-10-11;"0";0
2016-10-12;"0";0
2016-10-13;"0";0
2016-10-14;"0";0
2016-10-15;"0";0
2016-10-16;"0,2";0
2016-10-17;"0";0
2016-10-18;"0,2";0
2016-10-19;"0";0
2016-10-20;"0";0
2016-10-21;"0";0
2016-10-22;"0";0
2016-10-23;"0";0
2016-10-24;"0";0
2016-10-25;"0";0
2016-10-26;"0";0
2016-10-27;"0,1";0
2016-10-28;"0";0
2016-10-29;"0";0
2016-10-30;"0";0
2016-10-31;"0,4";0
2016-11-01;"0";0
2016-11-02;"0";0
2016-11-03;"0";0
2016-11-04;"0";0
2016-11-05;"0";0
2016-11-06;"0";0
2016-11-07;"0";0
2016-11-08;"0";0
2016-11-09;"0";0
2016-11-10;"0";0
2016-11-11;"0";0
2016-11-12;"0";0
2016-11-13;"0";0
2016-11-14;"0";0
2016-11-15;"0";0
2016-11-16;"0";0
2016-11-17;"0";0
2016-11-18;"0";0
2016-11-19;"0";0
2016-11-20;"0";0
2016-11-21;"0";0
2016-11-22;"0";0
2016-11-23;"0";0
2016-11-24;"0";0
2016-11-25;"0";0
2016-11-26;"0";0
2016-11-27;"0";0
2016-11-28;"0";0
2016-11-29;"0";0
2016-11-30;"0";0
2016-12-01;"0";0
2016-12-02;"0";0
2016-12-03;"0";0
2016-12-04;"0";0
2016-12-05;"0";0
2016-12-06;"0";0
2016-12-07;"0";0
2016-12-08;"0";0
2016-12-09;"0";0
2016-12-10;"0";0
2016-12-11;"0";0
2016-12-12;"0";0
2016-12-13;"0";0
2016-12-14;"0";0
2016-12-15;"0";0
2016-12-16;"0";0
2016-12-17;"0";0
2016-12-18;"0";0
2016-12-19;"0";0
2016-12-20;"0";0
2016-12-21;"0";0
2016-12-22;"0";0
2016-12-23;"0";0
2016-12-24;"0";0
2016-12-25;"0";0
2016-12-26;"0";0
2016-12-27;"0,2";0
2016-12-28;"0";0
2016-12-29;"0";0
2016-12-30;"0";0
2016-12-31;"0";0
2017-01-01;"0";0
2017-01-02;"0";0
2017-01-03;"0";0
2017-01-04;"0";0
2017-01-05;"0";0
2017-01-06;"0";0
2017-01-07;"0";0
2017-01-08;"0";0
2017-01-09;"0";0
2017-01-10;"0";0
2017-01-11;"0";0
2017-01-12;"0";0
2017-01-13;"0";0
2017-01-14;"0";0
2017-01-15;"0";0
2017-01-16;"0";0
2017-01-17;"0";0
2017-01-18;"0";0
2017-01-19;"0";0
2017-01-20;"0";0
2017-01-21;"0";0
2017-01-22;"0";0
2017-01-23;"0";0
2017-01-24;"0";0
2017-01-25;"0";0
2017-01-26;"0";0
2017-01-27;"0";0
2017-01-28;"0";0
2017-01-29;"0";0
2017-01-30;"0";0
2017-01-31;"0";0
2017-02-01;"0";0
2017-02-02;"0";0
2017-02-03;"0";0
2017-02-04;"0";0
2017-02-05;"0";0
2017-02-06;"0";0
2017-02-07;"0";0
2017-02-08;"0";0
2017-02-09;"0";0
2017-02-10;"0";0
2017-02-11;"0";0
2017-02-12;"0";0
2017-02-13;"0";0
2017-02-14;"0";0
2017-02-15;"0";0
2017-02-16;"0";0
2017-02-17;"0";0
2017-02-18;"0";0
2017-02-19;"0";0
2017-02-20;"0";0
2017-02-21;"0";0
2017-02-22;"0";0
2017-02-23;"0";0
2017-02-24;"0";0
2017-02-25;"0";0
2017-02-26;"0";0
2017-02-27;"0";0
2017-02-28;"0";0
2017-03-01;"0";0
2017-03-02;"0";0
2017-03-03;"0";0
2017-03-04;"0";0
2017-03-05;"0";0
2017-03-06;"0";0
2017-03-07;"0";0
2017-03-08;"0";0
2017-03-09;"0,2";0
2017-03-10;"1,2";0
2017-03-11;"0";0
2017-03-12;"0";0
2017-03-13;"0";0
2017-03-14;"0";0
2017-03-15;"0";0
2017-03-16;"0,1";0
2017-03-17;"0,6";0
2017-03-18;"0,3";0
2017-03-19;"0,2";0
2017-03-20;"0";0
2017-03-21;"0";0
2017-03-22;"0";0
2017-03-23;"0";0
2017-03-24;"0";0
2017-03-25;"0,3";0
2017-03-26;"0";0
2017-03-27;"0";0
2017-03-28;"0,3";0
2017-03-29;"1,1";0
2017-03-30;"1,6";0
2017-03-31;"1,3";0
2017-04-01;"0,5";0
2017-04-02;"0";0
2017-04-03;"1,6";0
2017-04-04;"1";0
2017-04-05;"0";0
2017-04-06;"0,6";0
2017-04-07;"0";0
2017-04-08;"0,7";0
2017-04-09;"1,2";0
2017-04-10;"2,2";0
2017-04-11;"1,8";0
2017-04-12;"1,1";0
2017-04-13;"1,9";0
2017-04-14;"1,5";0
2017-04-15;"1,2";0
2017-04-16;"2,2";0
2017-04-17;"0,2";0
2017-04-18;"0";0
2017-04-19;"0";0
2017-04-20;"0";0
2017-04-21;"0";0
2017-04-22;"0,8";0
2017-04-23;"1";0
2017-04-24;"0";0
2017-04-25;"0";0
2017-04-26;"0";0
2017-04-27;"0";0
2017-04-28;"0";0
2017-04-29;"0";0
2017-04-30;"0";0
2017-05-01;"0";0
2017-05-02;"0";0
2017-05-03;"0";0
2017-05-04;"0";0
2017-05-05;"0,7";0
2017-05-06;"0";0
2017-05-07;"0";0
2017-05-08;"1,2";0
2017-05-09;"0,8";0
2017-05-10;"0,1";0
2017-05-11;"0";0
2017-05-12;"0,5";0
2017-05-13;"1,9";0
2017-05-14;"2,4";0
2017-05-15;"3,2";0
2017-05-16;"3,7";0
2017-05-17;"4,7";1
2017-05-18;"4,6";0
2017-05-19;"1,5";0
2017-05-20;"1,8";0
2017-05-21;"3,1";0
2017-05-22;"4,3";0
2017-05-23;"5,6";0
2017-05-24;"7";0
2017-05-25;"4,8";0
2017-05-26;"4,6";0
2017-05-27;"5,4";0
2017-05-28;"7,3";0
2017-05-29;"7,6";0
2017-05-30;"7,8";0
2017-05-31;"7,4";0
2017-06-01;"6,5";0
2017-06-02;"6,9";0
2017-06-03;"6,7";0
2017-06-04;"6";0
2017-06-05;"3,4";0
2017-06-06;"2,1";0
2017-06-07;"4";0
2017-06-08;"2,9";0
2017-06-09;"4,1";0
2017-06-10;"6,4";0
2017-06-11;"7,7";0
2017-06-12;"8,9";0
2017-06-13;"9,5";0
2017-06-14;"8,8";0
2017-06-15;"6,8";0
2017-06-16;"10,4";0
2017-06-17;"10,5";0
2017-06-18;"7,3";0
2017-06-19;"7,6";0
2017-06-20;"8,8";0
2017-06-21;"9,6";0
2017-06-22;"10,4";0
2017-06-23;"10";0
2017-06-24;"10,4";0
2017-06-25;"7,6";0
2017-06-26;"6,6";0
2017-06-27;"6";0
2017-06-28;"4,3";0
2017-06-29;"2";0
2017-06-30;"2,9";0
2017-07-01;"3,1";0
2017-07-02;"4,9";0
2017-07-03;"7,1";0
2017-07-04;"7";0
2017-07-05;"8,5";0
2017-07-06;"9,8";0
2017-07-07;"10,2";0
2017-07-08;"10,6";0
2017-07-09;"8,9";0
2017-07-10;"8,4";0
2017-07-11;"6,5";0
2017-07-12;"7,1";0
2017-07-13;"9,1";0
2017-07-14;"6";3
2017-07-15;"6,7";0
2017-07-16;"6";0
2017-07-17;"6,7";0
2017-07-18;"7,6";0
2017-07-19;"8,2";0
2017-07-20;"7,9";0
2017-07-21;"7,6";0
2017-07-22;"8";0
2017-07-23;"9";0
2017-07-24;"6,3";0
2017-07-25;"6,9";0
2017-07-26;"6,4";0
2017-07-27;"6,8";0
2017-07-28;"7,7";0
2017-07-29;"8,1";0
2017-07-30;"6,5";0
2017-07-31;"8,4";0
2017-08-01;"10,5";0
2017-08-02;"12";0
2017-08-03;"12,3";0
2017-08-04;"13";0
2017-08-05;"12,3";0
2017-08-06;"9,7";0
2017-08-07;"7,5";0
2017-08-08;"7,5";0
2017-08-09;"8";3
2017-08-10;"6,4";0
2017-08-11;"2,5";0
2017-08-12;"5";0
2017-08-13;"5,5";0
2017-08-14;"6,7";0
2017-08-15;"7,9";0
2017-08-16;"8,8";0
2017-08-17;"9,5";0
2017-08-18;"9,8";0
2017-08-19;"8";0
2017-08-20;"5,2";0
2017-08-21;"5,2";0
2017-08-22;"5,4";0
2017-08-23;"6,1";0
2017-08-24;"7,2";0
2017-08-25;"8,3";0
2017-08-26;"9,2";0
2017-08-27;"10,2";0
2017-08-28;"9,3";0
2017-08-29;"8";0
2017-08-30;"8,6";0
2017-08-31;"7,4";0
2017-09-01;"5,5";0
2017-09-02;"0,1";0
2017-09-03;"2,2";0
2017-09-04;"2,7";0
2017-09-05;"4";0
2017-09-06;"4,4";0
2017-09-07;"4,8";0
2017-09-08;"2,5";0
2017-09-09;"2,2";1
2017-09-10;"0";0
2017-09-11;"1,8";0
2017-09-12;"2,2";0
2017-09-13;"2";0
2017-09-14;"1";0
2017-09-15;"0,2";0
2017-09-16;"0,3";0
2017-09-17;"0,5";0
2017-09-18;"0";0
2017-09-19;"0,4";0
2017-09-20;"1,2";0
2017-09-21;"1,2";0
2017-09-22;"1,3";0
2017-09-23;"1,7";0
